article,highlights,id
"(CNN) -- The most compelling action during Michigan's primary Tuesday will be on the Republican side. The Democratic Party has stripped the state of its delegates for moving up its primary date so early, and top-tier Democratic candidates have taken their names off the ballot, except for Sen. Hillary Clinton. The struggling auto industry has been a drag on Michigan's economy. In many ways, the Republican battle for Michigan will be similar to last week's New Hampshire contest. The primary is open, and any registered voter -- including independents and Democrats -- can participate. Sen. John McCain won New Hampshire with the help of independent voters, and he is campaigning hard to re-create that success in Michigan. In 2000, McCain defeated then-Texas Gov. George W. Bush in the Michigan primary. In that vote, more than half -- 52 percent -- were either independents or Democrats. Among Republican voters, McCain lost to Bush 29 percent to 66 percent. In that contest, almost three out of every 10 voters identified themselves as members of the religious right. Overall, Michigan is a swing state, producing narrow margins of victory for presidential candidates and statewide officeholders. However, voting trends favor the Democrats. Michigan's governor, Jennifer Granholm, is a Democrat, as are the state's two U.S. senators -- Carl Levin and Debbie Stabenow. The Democratic presidential nominee has carried Michigan in the last four elections. Sen. John Kerry, the Democrats' 2004 standard bearer, won Michigan 51 percent to 48 percent over President Bush. The state's economy is powered by the automotive industry, which has experienced its fair share of struggles. Michigan's unemployment rate, 7.4 percent, is higher than the national average of 5 percent. Region by region . Wayne County, in the southeastern corner of the state, contains the economically depressed Detroit, Michigan's largest city. Detroit is predominantly black and solidly Democratic. North of Wayne County are the more-affluent suburban counties of Oakland and Macomb, which have grown in population in the last two decades. These two counties have been the state's central political battleground in recent elections. West of Wayne is the ""university belt,"" home to the University of Michigan in Ann Arbor and Michigan State University in East Lansing. The area also includes the industrial cities of Saginaw and Flint, where unions remain strong, as well as Jackson and Bay City. The state's capital, Lansing, and the sparsely populated upper peninsula are also part of this region. The southwest part of the state is dominated by Grand Rapids, Michigan's second-largest city. Grand Rapids is traditionally Dutch-American and has many Christian conservatives and generally votes Republican. The area also contains smaller industrial cities and farming communities. The economy of the sparsely populated north and northwest is based on agriculture, tourism and timber. It traditionally votes Republican. Endorsements . The Detroit Free Press has endorsed McCain. ""While the Free Press differs with McCain on a number of issues, the Arizona senator is a smarter, more tested and pragmatic leader who has shown since 2000 that he knows how to build bipartisan alliances around issues,"" the newspaper said in an editorial. The Detroit News also endorsed McCain, citing his fiscal conservatism and command of military and foreign affairs, over Michigan native Mitt Romney. ""Other GOP contenders, most notably former Massachusetts Gov. Mitt Romney, are capable figures with impressive resumes and a solid grasp of the issues. But McCain's longtime presidential ambitions are at last aligned with the needs of the nation,"" the newspaper said. E-mail to a friend .","Independents, Democrats can vote in Michigan's open Republican primary .
No Democratic delegates at stake, and most top-tier candidates aren't on ballot .
Economic woes top concern for Michigan primary voters .",d670da295571f998bd0864540e2acd109d077131
"An attorney who says he is representing more than a dozen celebrities whose iCloud accounts were hacked and nude photos stolen fired off a strongly worded letter on Wednesday to Google: Immediately remove all the images from your platforms or face a $100 million lawsuit. Marty Singer -- whose past client roster includes Britney Spears, Kim Kardashian, Angelina Jolie and Brad Pitt  -- sent a letter to Google on behalf of several  female ""actresses, models, and athletes whose confidential, personal, private photos and videos"" were stolen in late August. Stars including Jennifer Lawrence, Kate Upton and Rihanna have reportedly been part of a group of more than 100 who had their accounts hacked and images stolen. Attorney Singer criticized Google for its ""despicable, reprehensible conduct in not only failing to act expeditiously and responsibly to remove the Images, but in knowingly accommodating, facilitating and perpetuating the unlawful conduct."" 5 Things to know about the celebrity nude photo hacking scandal . According to Singer, Google was notified that the images were stolen on more than a dozen occasions. He accuses the company of refusing to act to remove all of the images from its platforms pursuant to the safe harbor provisions of the Digital Millennium Copyright Act. T . The letter notes other website operators and host providers -- including Twitter -- have accommodated take-down demands, but claims Google ""has recklessly allowed these blatant violations to continue in conscious disregard of our clients' rights.""  The letter specifically references images that are still available on Google sites including BlogSpot and YouTube. Singer's letter says: ""Because the victims are celebrities with valuable publicity rights, you do nothing  -- nothing but collect millions of dollars in advertising revenue from your co-conspirator advertising partners as you seek to capitalize on this scandal rather than quash it. Like the NFL, which turned a blind eye while its players assaulted and victimized women and children, Google has turned a blind eye while its sites repeatedly exploit and victimize these women."" Google for its part is disputing the accusations. A spokesperson for the search engine giant told CNN, ""We've removed tens of thousands of pictures -- within hours of the requests being made -- and we have closed hundreds of accounts.  The Internet is used for many good things.  Stealing people's private photos is not one of them."" Singer has not disclosed who he is specifically representing in this case. The FBI investigation into the incidents is ongoing.","Marty Singer is accusing Google of acting ""like the NFL""
He is demanding that the images be removed .
Google is disputing the accusations .",ecf1c1fd0fd7d59d3d27586fb49bdf6ef15abb25
"Beijing (CNN) -- Dozens of Chinese workers angry over a pay dispute have held their U.S. boss hostage for five days, the American businessman said. Chip Starnes, co-founder and president of Specialty Medical Supplies China, has been trapped in the company's suburban Beijing factory since Friday. He told CNN it's all because of a misunderstanding about layoffs and severance packages. ""I tried to leave a day and a half ago, and there was like 60 or 70 of them here inside every entrance, and every exit was barricaded,"" Starnes said Tuesday from behind the gates of the factory. ""I can't go anywhere."" Starnes was calm but looked haggard, wearing the same blue jeans and a blue shirt that he said he has been wearing since last week. The incident started when the company laid off about 30 workers in its injection molding division. He said he transferred workers to another division, but some workers did not want to move. So the company gave them severance packages. Starnes said the problem came when workers who already moved to another division also wanted severance packages. But workers who spoke to CNN from behind the factory gates gave an entirely different account. Some said they're owed two months' worth of back pay and feared everyone at the plant would be laid off, as they claimed no new materials had entered the factory. Starnes disputed that. ""There are no outstanding balances. There is no reason to be doing this other than bad information,"" he said. ""The wrong information got out. Things snowballed. I am in the process of trying to fix that, but the demands and the amount of money that it is taking to do that puts the company in a bad situation, so there has got to be some compromise."" About four police officers at the scene would not comment on the situation. U.S. embassy officials in Beijing met with Starnes on Monday and confirmed he is safe and is close to reaching an agreement, spokesman Nolan Barkhouse said. He said the executive has access to attorneys. Starnes said the employees haven't caused any physical harm but have disrupted his sleep by banging on doors and windows. He has a cot and is receiving three meals a day, said Les Capella, the U.S president of Specialty Medical Supplies. Capella said the company has offered protesting employees a lesser severance package if they want to leave. But he said the 80 to 100 employees at odds are demanding about $500,000 -- which would bankrupt the company. CNN's John Zarrella contributed to this report.","The U.S. embassy in Beijing says Starnes is safe and has access to lawyers .
Starnes and the workers have conflicting accounts about the problem .
Employees say they're owed back pay and fear the plant will shut down .
Starnes says workers transferred to another division want severance pay .",136d7ced37865f0ea3900475bc73d33f30a510c7
"(CNN) -- In many ways, my life is ordinary and extraordinary at the same time. I am a working mother with three young children ages 2, 4 and 6. I got them dressed today. We fought over wearing hats because it was cold outside. I packed their snacks. I dropped them off and kissed their chubby cheeks. I am the PTA treasurer for my daughter's school. I am a volunteer in the community. I am a wife to a partner I have been with nearly 14 years. I live in a suburb. I have all the trappings of a comfortable life. I am content in my daily life. What sets me apart from the typical soccer mom is that I am an outspoken recovering heroin addict. Many people might be familiar with my story from the movie ""Black Tar Heroin: The Dark End of the Street."" I agreed to be featured in the film because I thought it would live on after I died from an overdose as a testimonial to the dangers of drug addiction. Yet I survived eight years of heroin addiction. I was one of the lucky few from that time period when treatment options and evidence-based treatment solutions were limited. I started my journey as a heroin addict while a college student in Cincinnati. I had been given Vicodin after removal of my wisdom teeth. I fell in love with that feeling opiates provided me. My burdens seemed to slip away under the influence. I longed for that feeling. After experimenting with many drugs, I found opiates provided me with the ability to forget my problems. No longer was I obsessed with feeling different. I was happy with being numb. My addiction quickly spiraled until I ended up being a homeless junkie in the streets of San Francisco's Tenderloin district. At first I was doing the drugs, but in short order the drugs began to control every aspect of my life. I was living on the streets and in and out of rat-infested hotels. In a few short years, I was completely unrecognizable as my former self. My last day using was February 26, 1998. I was injecting heroin into the soles of my feet because I no longer had any usable veins. I could barely walk, I was emaciated, and I was relieved when I was arrested that night. I spent my first months off drugs in the San Francisco County Jail. This was not my first time detoxing from heroin. Fortunately, it would be my last time. I was able to get into a treatment program followed by a sober-living house, where I lived for four years. In the years I have been off heroin, I have struggled with depression, post-traumatic stress disorder and anxiety. Many addicts find that once the drugs are removed, the underlying cause to the use can be nearly as painful as the use itself. When the drugs are removed, there can be an overwhelming sense of sadness. Getting clean can be seen as the ultimate solution. When the veil of chemicals lifts, the person may not like what is revealed to him or her. I dealt with these feelings without using heroin. However, the thought crossed my mind many times that relief can easily be found at the bottom of a spoon. That is part of my affliction. Everyone has a different treatment story. The reality for me was and is that stopping use of the substance is relatively easy compared with staying off drugs. The lifetime commitment to abstinence from drugs is what kills many people. When they have cravings to use, the stigma attached to heroin use forces them to deal or not deal with their affliction in private. This decision is frequently fatal, as in the case of Philip Seymour Hoffman. If we were courageous enough to try to conquer our insatiable desire for heroin, we feel weak telling another person that we feel like using is once again a viable option. I know these feelings. Fifteen years later, I still deal with the stigma of being a heroin addict. The track marks and scars are visible, but the pain of longing lies deep under the surface. Many heroin addicts are embarrassed to admit they ever had a problem with this powerful substance. If you are open about it, it triggers speculation and scrutiny as to your personal well-being. Addiction is a medical condition, yet there is little sympathy because society views it to be self-inflicted. I have chosen a different path for myself. I chose to be completely open about my experience in hope that others can learn that recovery is possible. What will I tell my children? They are too young to understand drugs, but they know I used to be homeless. I want them to understand how fortunate they are in hopes they will not go down the same path. What do I say when people see the movie and contact me through social media looking for answers to their own addiction? There are many roads to recovery. The path that I followed worked for me, but I cannot dictate what may work for another user struggling to get off drugs. I can only share my experience. I have spent my second chance at life teaching both harm reduction and overdose prevention because all of us have a life worth saving. I feel blessed I am able to bring a voice and a face to the issue.","Tracey Helton Mitchell says her drug addiction spiraled after she was given painkillers .
She says she wound up homeless in San Francisco's Tenderloin district .
The underlying cause of addiction can be painful to confront, she says .
""There are many roads to recovery,"" Mitchell writes .",b6540fd0385114ec3fb6aa47e9734584167930fb
"(CNN) -- Twitter co-founder Jack Dorsey is very softly spoken. The tech titan, now chief executive of mobile payments company Square, is an observer who pays close attention to everything that goes on around him. The 36-year old prefers to listen rather than talk, which may seem ironic for someone who helped re-define how we communicate. But it might explain the brevity of Twitter, the social media phenomenon which distils communication to 140 characters. READ MORE: Dorsey's plans to reinvent shopping . Dorsey, who I meet in a Toronto coffee store, is a little uncomfortable around the media. This is perhaps not a shock given some negative press which has followed his success -- notably from journalist and author Nick Bilton, who painted an unflattering portrait of Dorsey during the early days of Twitter. But he is surprisingly engaging when he is talking to small business owners and Square customers. Dorsey has a real passion for building communities, and that's the common thread between his current venture, Square, and Twitter. They are both about building communities. There are differences: Twitter was wide in scope, while Square is focused on building a community of small businesses. Dorsey, now a billionaire and one of the world's most influential tech brains, grew up in St Louis, Missouri, with parents who were running small coffee and pizza businesses. He's clearly a genuine believer in small companies and their importance to communities and wider economic growth. That's why Dorsey is traveling around the U.S. and Canada, holding Town Hall meetings for small businesses under the banner #LetsTalk. Dorsey wants to talk to business owners about Square, but also connect these local companies to support and mentor each other. READ MORE: Twitter valued at more than $11 billion . Square is the mobile commerce company he set up back in 2009, with the @Square Twitter handle. It began with a credit card reader and has expanded to analytics (Square Register) and service where you can send cash over email (Square Cash). The initial set up is easy and fees are low, which reflects Dorsey's desire for technology to even the commercial playing field. He wants small businesses to have the same shot at success that big businesses have. Dorsey also thinks technology should make the back office administration (billing, inventory, promotions) easier so that the owner or seller can spend more time on the actual business -- in the front of the shop. Ultimately, he wants to revolutionize commerce. READ MORE: Why is Twitter spending so much on R&D? And despite the presence of Paypal, Google and Intuit, Dorsey thinks there is still too much disruption for customers. He refers to a ""frictionless"" experience for customers that releases business to do what it should be doing: Building the economy. Square is in U.S., Canada and Japan already. But Dorsey, in his unassuming way, is pitching to take it around the globe.","Twitter co-founder Jack Dorsey is promoting his new business, Square, across North America .
CNN's Maggie Lake caught up with Dorsey in Toronto to hear his plans to upend commerce .
Dorsey said he wants to make commerce frictionless, allowing businesses time to expand .
His comments come as Twitter, which is valued at up to $11 billion, prepares to go public .",6d78486109d35e123627def31c6b2c57eb32dc01
"(CNN) -- Heavy snow in northern Japan claimed the lives of eight people over the weekend, while a blizzard forced a high-speed bullet train to derail. In one incident, a woman and her three children were found dead on Saturday after becoming trapped in their car in Nakashibetsu, a town in eastern Hokkaido prefecture, police told CNN. Authorities believe they died of carbon monoxide poisoning as the car's engine was left running and filled with exhaust fumes. The vehicle's exhaust pipe and windows were buried under snow. A 23-year-old woman, also from Nakashibetsu, died Sunday after she was found collapsed on farmland near the town. Police said she had abandoned her car, which was found a few hundred meters away. Elsewhere in the region, a 53-year-old man and his nine-year-old daughter were discovered unconscious after being buried in snow on farmland near Yubetsu in Monbetsu district. The father was pronounced dead at hospital, but his daughter is now conscious and does not have any life-threatening injuries, police said. The two went missing after leaving their home Saturday afternoon in a truck to visit a friend of the father. Police and rescue workers found the truck on a road Saturday evening and the man and his daughter Sunday morning. According to local media, the father had covered his daughter with his body to try to warm her under heavy snow. The bodies of two other men -- ages 74 and 54 -- were also found outside Sunday. They are believed to have gotten lost after leaving their snow-trapped cars, and police say the elder man froze to death; the other's man's death is under investigation. Meanwhile, a six-car bullet train en route from Tokyo to Akita on the high-speed Akita Shinkansen line derailed on Saturday afternoon after the front wheels of the train's first car left the track in blizzard conditions near Daisen in Akita prefecture. Nobody on board was injured, and the service resumed on Monday, a spokesperson for operator JR East told CNN. Local media reports said the train remained in the same spot for six hours in snowy weather with 130 passengers stranded inside. Investigators from JR East are looking into the cause of the incident.","Woman and her children found dead in their snow-trapped car .
Four other people in Hokkaido prefecture froze to death during weekend .
High-speed train derailed in blizzard conditions in Akita prefecture .",0e8763d276b9be574fa62a0c587691be86d366a9
"(CNN) -- Government investigators found no proof substantiating reports that miners massacred members of an indigenous community in the Venezuelan Amazon, officials said. But activists and indigenous groups said Monday that the government was too swift in denying that dozens of Yanomami Indians died in an attack that reportedly occurred in July, and that was the subject of a call for action last week by a Yanomami organization and other groups. ""It's far too early for the Venezuelan government to be denying this massacre took place,"" said Chloe Corbin, a spokeswoman for London-based Survival International. Allegations of the massacre trickled out of a remote region along the Brazil-Venezuela border, where unauthorized Brazilian gold miners have long clashed with indigenous groups. The Yanomami, who live in both nations, are considered the largest indigenous group in the Americas that remains largely untouched by advances in the outside world. Venezuelan officials said last Wednesday they were investigating reports of an attack. On Saturday, a top official said visits to the region revealed that reports about the alleged massacre were false. ""We can tell the country that there is no evidence of any deaths, nor any evidence of homes burned down in the supposed massacre of 80 of our Yanomami brothers,"" Nicia Maldonado, Venezuela's minister of tribal people, told state-run VTV. On Sunday, the South American country's interior minister described the allegations as ""false news,"" accusing private media companies and members of the opposition of spreading the report. In a Twitter post, Interior Minister Tareck El Aissami said government investigators had visited all of the Yanomami communities and ""all are well."" But a group of organizations representing indigenous people and communities in the Amazon said the investigators hadn't visited the area where the attack is reported to have taken place. For that reason, the groups said in a statement published on the website of the Venezuelan human rights organization Provea, the authorities can't ""say that no evidence proving the alleged massacre has been found."" They urged the government to continue the investigation and to go as far as site of the settlement that was reportedly attacked. The area is a five-hour helicopter ride, or 15 days on foot, from Puerto Ayacucho, the main Venezuelan city in the Amazon, the government said. Survival International, which advocates tribal peoples' rights worldwide, said in a written statement that the government officials' comments are ""not unusual in these circumstances and should be ignored."" ""There is more that needs to be done on the ground to get to the bottom of this reported massacre and find out how many people were affected by it,"" Corbin said. Indians told members of a neighboring Yanomami community that they saw burned bodies and bones in the area where the attack allegedly occurred, according to Survival International, which had contacted local representatives but had not spoken directly with any witnesses of the alleged attack. Of about 80 Yanomami people who lived in the Irotatheri community, only three survivors had been found, according to a declaration published on Survival International's website, purportedly from indigenous organizations. In recent years, the Yanomami tribe has been under increasing pressure as miners illegally entered their land in the search of profits. Miners in Brazil have transmitted diseases such as malaria and flu to the Yanomami, who have little resistance to such diseases, observers say. CNN's Catherine E. Shoichet and Marilia Brocchetto contributed to this report.","NEW: Investigators didn't visit the site of the alleged attack, indigenous groups say .
A top Venezuelan official says there is 'no evidence of any deaths'
It's too early to deny a massacre took place, activists say .
Indigenous groups say only three survivors have been found from a community of about 80 .",9d595d3799309531f0909e8583a1293d04156079
"Paris (CNN) -- The apparent assassination of three Kurdish women political activists in central Paris on Thursday, all shot in the head, has provoked shock among the Kurdish community. Mystery swirls around the slayings, with no claim of responsibility or any indication from authorities as to who might have pulled the trigger. The fact that one of the women is a founding member of the Kurdish Workers' Party, or PKK -- a group viewed by Turkey, the United States and others as a terror organization -- has led to heightened speculation. The killings come at a delicate time for Kurds in Turkey, where analysts say the government has recently entered into talks with Kurdish leaders -- among them the jailed head of the PKK, Abdullah Ocalan. Analysts suggest the attack could be an attempt to derail a nascent peace process, in what is one of the Middle East's longest-running conflicts. Opinion: How Paris killings could renew Kurd flashpoint . The PKK, a pan-Kurdish nationalist movement, is best known internationally for the guerrilla war it has fought for nearly three decades against the government of Turkey, a conflict that has claimed more than 40,000 lives. The ethnic Kurdish population extends across parts of Turkey, Syria, Iran and Iraq. French Interior Minister Manuel Valls told reporters in Paris the three women had been ""without doubt executed"" and described the killings as ""totally unacceptable."" Report: Turkey's Kurdish conflict has turned more violent . The main pro-Kurdish political party in Turkey, the Peace and Democracy Party, or BDP, identified the three victims as Sakine Cansiz, who was a co-founder of the PKK, Leyla Sonmez and Fidan Dogan. Police said the women's bodies were discovered about 2 a.m. local time in the Information Center for Kurdistan in Paris, located on a busy street behind the Gare du Nord, one of the capital's main train stations. Officers took evidence bags from the building, near which much of the city's Kurdish community lives, but have released few details. Leon Edart, of the Federation of Kurdish Associations in France, told CNN affiliate BFM-TV that the women had been alone at the site, which had no security cameras, on Wednesday afternoon. Read more: Turkish town on Syrian border deals with fighting, ethnic differences . French Foreign Minister Laurent Fabius said that French authorities were determined to shed light on the murders and that a judicial inquiry had been opened. So far, authorities have not indicated who might have been responsible. But political leaders in Turkey have been quick to express their shock and revulsion. Turkish government spokesman Bulent Arinc condemned the ""savage"" killing of the women, in comments to the semiofficial Anadolu news agency, saying it was ""utterly wrong."" And the BDP, which has 35 elected members in the Turkish parliament, demanded answers. ""We expect the French government to enlighten this massacre beyond a shadow of doubt. We want it known that these murders committed overtly in the busiest part of Paris cannot be covered up,"" it said. Roj Welat, a spokesman for the PKK leadership in the Qandil Mountains of northern Iraq, said the PKK had not seen any claims of responsibility and was waiting for the results of the French investigation into the murders, as well as its own probe. ""It is an assassination, it is terror, it is ideological and political assassination, (a) terror attack against the Kurdish people,"" he said. ""Sakine Cansiz has been actively involved in the peace and democracy struggle, freedom struggle, of the Kurdish people for a long time. She was one of the women who participated in the formation of the PKK."" Read more: Turkey police crack down on Kurds . Hugh Pope, senior Turkey analyst for the International Crisis Group, suggested the killings would ""raise huge questions on the Kurdish side about what's going on"" in relation to the Turkish negotiations. ""No one should use this as an excuse to end these talks. Because this is a unique opportunity, it is a year without any political elections,"" he said. ""Whoever did it, it's very important that the negotiators take steps to reassure each other."" Pope warned against quick pronouncements on the assassin's identity or affiliation, saying the PKK ""has a long history of killing its own people, too. So there's no way anybody can jump to conclusions."" Huseyin Celik, a spokesman for Turkey's ruling Justice and Development Party, or AKP, said information was still coming in, but ""when you look how it was carried out, it seems like an internal settling of scores within the PKK."" Read more: Kurdistan officials hope Iraq will allow Turkish minister in . The murders have also left the Kurdish community in Paris and elsewhere reeling. Valls, the French minister, said that Dogan was the head of the Information Center for Kurdistan and that she was known to many in the community through her work. She was also the Paris representative of the Kurdistan National Congress, or KNK, a political group based in Brussels, Belgium. Akif Rizgar Wan, the British representative of the KNK, told CNN he had known Dogan for more than a decade and had last seen her in December. He described her killing as ""terrorism in the middle of Europe"" and an attack on efforts to find a peaceful resolution to the Kurdish question. ""It's a very big loss for us,"" he said. ""I cannot describe my sadness. I've not seen anyone else in my life so warm and helpful to anyone."" Read more: Jailed leader calls for end of Kurdish hunger strike . About 200 members of the Kurdish community rallied outside the Information Center for Kurdistan on Thursday morning but dispersed soon after. A statement on the French website Jeunesse Kurde (Kurdish Youth) on Thursday urged Kurds and friends of the Kurdish people to gather in Paris. Berivan Akyol, a spokeswoman for the Kurdish Cultural Center in Paris, said a demonstration would be held Saturday. ""We want to condemn these savage executions and the obscure political forces behind them. We are expecting at least 4,000 people,"" she told CNN. More than 150,000 Kurds live in France, many of them in the Paris area, according to BFM-TV. About 90% of the population originates from Turkey, the broadcaster says. Whether the murders will affect the high-profile negotiations in Turkey remains to be seen. Throughout the long conflict in Turkey, the PKK has modified its goals from demanding a separate Kurdish state to fighting for the expansion of Kurdish cultural and linguistic rights, as well as the release of Ocalan, the jailed PKK leader. For decades, the Turkish state discriminated against the Kurds, Turkey's largest ethnic minority, which now makes up roughly 20% of the population. The Kurdish language was banned, and Kurds were long referred to as ""mountain Turks."" During Turkish Prime Minister Recep Tayyip Erdogan's 10 years in power, the government has made historic outreaches to the long-oppressed population, an effort that included secret talks with PKK leaders in 2005. But PKK-related violence has spiked recently, reaching death tolls unseen in more than 13 years, according to a report published by the International Crisis Group, a nonprofit conflict mediation organization. Read more: Syria rebels, Kurdish militia discuss cease-fire . CNN's Ivan Watson and Gul Tuysuz reported from Istanbul; Alexander Felton and Laura Smith-Spark reported from London; and Jim Bittermann reported from Paris.","Turkish government spokesman condemns the killings as ""utterly wrong""
The slain women are Sakine Cansiz, Leyla Sonmez and Fidan Dogan, pro-Kurdish party says .
""I cannot describe my sadness,"" a Kurdish activist says of one victim's death .
Analyst says the killings can be seen in the context of talks in Turkey with Kurdish leaders .",96d7f3a8d1ec83c1b010c24982965eb675671df0
"Athens, Greece (CNN) -- Explosions took place Tuesday outside two embassies in Greece, and police carried out controlled explosions of three more suspicious parcels addressed to embassies, officials said. The incidents come a day after one person was wounded when a parcel bomb addressed to Greece's Mexican Embassy exploded. The object at the Swiss Embassy on Tuesday was a small bomb that was thrown into the building's courtyard, police said. A separate explosion happened outside the Russian Embassy, police said. It wasn't immediately known what type of device caused that explosion. No one was injured in either incident. Meanwhile, authorities said they detonated a package at the Bulgarian Embassy and a suspicious package addressed to the Chilean Embassy, after a courier carrying the latter parcel thought it might contain an explosive device. The third parcel was addressed to the German Embassy, but it was detonated near a courier office because embassy officials thought it might be a parcel bomb and sent it back, police said. Monday, a parcel bomb addressed to the Mexican Embassy exploded at the same private courier company and wounded a woman there. Two suspects were arrested Monday after police cordoned off the surrounding area, the ministry said. Both were wearing wigs and one of them was wearing a bulletproof vest. Both also were carrying Glock 9mm pistols and were in possession of two other explosive parcels, including one addressed to French President Nicolas Sarkozy, the ministry and police said. The other was addressed to the Belgian Embassy. The packages were detonated by police. The arrested men are in their early 20s and are both Greek nationals, police said. One of them is a suspected member of the Greek leftist militant group Conspiracy of the Cells of Fire. Another parcel bomb was found nearby Monday at another courier company in the same area. It was addressed to the Dutch Embassy. From Journalist Elinda Labropoulou .","Police detonate parcel addressed to German Embassy .
No one was hurt in the Swiss and Russian blasts .
Police carried out controlled explosions of two other parcels .
Parcel bombs were addressed to several embassies Monday .",184e1d80177bd0f11ea8533444bb92a2074cbb86
"(CNN) -- His journey started in Nigeria, a taunted teenager with large tumors on his face, driven into deep despair. Eleven years later, Victor Chukwueke has undergone numerous surgeries and is a step closer to achieving his dream of becoming a doctor. In a rare act, the United States Congress passed a private bill last week granting Chukwueke permanent residency after years of his living in Michigan on an expired visa. The bill is awaiting President Barack Obama's signature. ""The day Congress passed the bill was one of the happiest days of my life,"" says Chukwueke, who left Nigeria as a teen in 2001 to get treatment for the tumors. Private bills -- which only apply to one person and mostly focus on immigration -- seldom pass. His is the only private bill to pass in Congress in two years. ""I was overwhelmed with joy; it was nothing less than a miracle,"" the 26-year-old says. ""Only in this country can so many miraculous and wonderful things happen to someone like me."" Before coming to the United States at age 15, Chukwueke lived in the southeastern Nigeria town of Ovim. He suffers from neurofibromatosis, a genetic disorder that causes massive life-threatening tumors on his face. Treated as an outcast because of his deformed face, he was depressed and humiliated, he says. His family abandoned him at an orphanage. Nuns from the Daughters of Mary Mother of Mercy rescued him from the orphanage more than a decade ago and arranged for a Michigan doctor to perform surgery on him. He says he considers himself lucky to have developed the tumors. ""Without them, I would not have met the nun, left Nigeria, arrived in the U.S. and had the miracle to attend medical school,"" he says. He lives with the nuns in Oak Park, Michigan. They have cared for him since he came to the U.S., where he has undergone seven surgeries, including one that left him blind in the right eye. Doctors performed Chukwueke's surgeries over a period of time, he says, which contributed to his expired visa. Despite the obstacles, he remains committed to getting an education. ""My own personal struggles to receive treatment have motivated and encouraged me to pursue a medical career ... to alleviate the pain and suffering of others,"" he says. ""A medical career will allow me many gratifying years of making a difference in the health and lives of others. I strongly believe one can make another person's life worthy of living ... I have experienced it."" He finished his GED -- the equivalent of a high school education -- while undergoing treatment and enrolled at a community college. A benefactor later helped him attend Wayne State University, where he graduated with a bachelor's degree in biochemistry and chemical biology last year. He had a 3.82 GPA and gave the university's commencement speech. ""Should I call myself a victim, or should I press forward to my dreams?"" he asked during the speech amid thunderous applause. Soon after his graduation, the University of Toledo in Ohio admitted him to medical school. The only hurdle: The program requires him to have permanent residency status, also known as a green card. Though he qualifies for the DREAM Act, which gives immigrants who came to the United States as minors temporary residency, the measure would not give him the permanent status mandated by the university, according to his attorney. And so began Chukwueke's journey to get legalized, a quest that has seen strangers rally to his help. His attorney Thomas K. Ragland took his case pro bono. ""Victor's story is remarkable,"" says Ragland, who is based in Washington D.C. ""Here is this kid who comes from Nigeria, he was taunted and teased for his diseases, and he comes to this country and excels, despite so many surgeries. It is a testament of not letting anything get in the way."" Sen. Carl Levin, a Michigan Democrat, sponsored the bill, S. 285. The measure passed the Senate in the summer and the House last week . ""Already, his example has enriched Michigan and our nation, but I know that his contributions to our country are only beginning,"" Levin said in a statement. The number of illegal immigrants in the United States was estimated at 11.5 million last year. If Obama signs the bill, the State Department will reduce by one the number of immigrant visas available to Nigerians. That signature, Chukwueke says, will be his favorite holiday gift.","Victor Chukwueke's visa expires after he comes to the U.S. for treatment of tumors .
Michigan senator introduces a private bill to grant him a green card .
Bill comes after he's admitted to a medical school that requires students to have a green card .
In a rare act, Congress passes the bill last week .",221e600e1eb379a635752ffe0edae441907ab310
